Lactobacillus: Hypertension, Thyroid carcinoma, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Coronary artery disease, Multiple Sclerosis, Alcoholism, Inflammatory Bowel Disease, Ankylosing spondylitis, Cholestasis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Alzheimer's Disease, Primary sclerosing cholangitis, Autism spectrum disorders, Pancreatic cancer, Chronic kidney disease, Primary biliary cholangitis
Paraprevotella: Cystic Fibrosis, HIV infection, Rheumatoid Arthritis, Cirrhosis, Type 2 Diabetes, Systemic lupus erythematosus, Obesity, Chronic Obstructive Pulmonary Disease, Irritable Bowel Syndrome, Oral cancer, Psoriasis, Chronic kidney disease, Smoking, Asthma, Crohn's Disease, Ulcerative Colitis, Behcet's Disease, Parkinson's Disease, Autism spectrum disorders, Schizophrenia
Acidocella: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Uveitits, Autism spectrum disorders, Aerobic vaginitis, Irritable Bowel Syndrome, Breast cancer
Mogibacterium: Cystic Fibrosis, Obesity, Type 2 Diabetes, Chronic Obstructive Pulmonary Disease, HIV infection, Smoking, Aggressive periodontitis, Systemic lupus erythematosus, Rheumatoid Arthritis, Irritable Bowel Syndrome, Cirrhosis, Oral cancer, periodontitis, Crohn's Disease, Caries, Psoriasis, Colorectal cancer, Sj?gren Syndrome, Parkinson's Disease, Asthma
Klebsiella: Chronic kidney disease, Rheumatoid Arthritis, Multiple Sclerosis, Cirrhosis, Non-alcoholic fatty liver disease, Alcoholism, Type 1 Diabetes, Inflammatory Bowel Disease, Systemic lupus erythematosus, Autism spectrum disorders, Ulcerative Colitis, Coronary artery disease, Hepatocellular cancer, Behcet's Disease, HIV infection, Primary sclerosing cholangitis, Infantile eczema, Autism, Cystic Fibrosis, Oral cancer
Anaerostipes: Chronic kidney disease, Multiple Sclerosis, Inflammatory Bowel Disease, Alcoholism, Rheumatoid Arthritis, Non-alcoholic fatty liver disease, Type 1 Diabetes, Coronary artery disease, Hepatocellular cancer, Cirrhosis, Infantile eczema, Autism spectrum disorders, Primary sclerosing cholangitis, Systemic lupus erythematosus, Ulcerative Colitis, Behcet's Disease, Hypertension, Autism, Ankylosing spondylitis, HIV infection
Porphyromonas: Rheumatoid Arthritis, Chronic kidney disease, Systemic lupus erythematosus, Cirrhosis, HIV infection, Behcet's Disease, Non-alcoholic fatty liver disease, Cystic Fibrosis, Oral cancer, Multiple Sclerosis, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Ulcerative Colitis, Type 1 Diabetes, Alcoholism, Irritable Bowel Syndrome, Asthma, Inflammatory Bowel Disease, Type 2 Diabetes, Primary sclerosing cholangitis
Anaerococcus: Cystic Fibrosis, Obesity, Type 2 Diabetes, Chronic Obstructive Pulmonary Disease, HIV infection, Aggressive periodontitis, Smoking, periodontitis, Caries, Colorectal cancer, Irritable Bowel Syndrome, Cirrhosis, Crohn's Disease, Systemic lupus erythematosus, Psoriasis, Parkinson's Disease, Oral cancer, Rheumatoid Arthritis, Asthma, Sj?gren Syndrome
Slackia: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Obesity, Caries, Cystic Fibrosis, periodontitis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Irritable Bowel Syndrome, Autism, Chronic Obstructive Pulmonary Disease, Autism spectrum disorders, Rheumatoid Arthritis, Oral cancer
Anaeroglobus: Type 2 Diabetes, Obesity, Cystic Fibrosis, Crohn's Disease, Parkinson's Disease, HIV infection, Caries, Colorectal cancer, Psoriasis, periodontitis, Cirrhosis, Ulcerative Colitis, Asthma, Irritable Bowel Syndrome, Schizophrenia, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Autism, Oral cancer, Aggressive periodontitis
Lactobacillus gasseri: Type 2 Diabetes, Obesity, Cystic Fibrosis, periodontitis, Caries, HIV infection, Crohn's Disease, Colorectal cancer, Chronic Obstructive Pulmonary Disease, Parkinson's Disease, Aggressive periodontitis, Cirrhosis, Psoriasis, Irritable Bowel Syndrome, Asthma, Smoking, Oral cancer, Rheumatoid Arthritis, Systemic lupus erythematosus, Ulcerative Colitis
Lactobacillus salivarius: Type 2 Diabetes, Cystic Fibrosis, Obesity, Crohn's Disease, HIV infection, Parkinson's Disease, Cirrhosis, Psoriasis, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Chronic Obstructive Pulmonary Disease, Irritable Bowel Syndrome, Asthma, Rheumatoid Arthritis, Schizophrenia, Oral cancer, Systemic lupus erythematosus, Aggressive periodontitis
Desulfurispirillum indicum: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Aerobic vaginitis, Breast cancer
Clostridium beijerinckii: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Autism, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Clostridium botulinum: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Uveitits, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Pyramidobacter piscolens: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Clostridium thermocellum: Colorectal cancer, periodontitis, Parkinson's Disease, Caries, Type 2 Diabetes, Crohn's Disease, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Uveitits, Autism, Aerobic vaginitis, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis
Eubacterium yurii: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, periodontitis, Caries, Ulcerative Colitis, Obesity, Psoriasis, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Aerobic vaginitis, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis
Eubacterium nodatum: Type 2 Diabetes, Crohn's Disease, Colorectal cancer, Parkinson's Disease, periodontitis, Caries, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, HIV infection, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Lactobacillus reuteri: Colorectal cancer, periodontitis, Caries, Parkinson's Disease, Type 2 Diabetes, Crohn's Disease, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Asthma, Autism, HIV infection, Aerobic vaginitis, Uveitits, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis
Lactobacillus plantarum: Parkinson's Disease, Crohn's Disease, Colorectal cancer, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Aerobic vaginitis, Uveitits, Chronic Obstructive Pulmonary Disease
Actinomyces viscosus: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Aerobic vaginitis, Chronic Obstructive Pulmonary Disease, Uveitits
Campylobacter concisus: periodontitis, Caries, Type 2 Diabetes, Colorectal cancer, Parkinson's Disease, Crohn's Disease, Obesity, Cystic Fibrosis, Psoriasis, HIV infection, Ulcerative Colitis, Cirrhosis, Asthma, Schizophrenia, Aggressive periodontitis, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Autism, Bacterial vaginosis, Oral cancer
Veillonella parvula: Obesity, Cystic Fibrosis, Type 2 Diabetes, HIV infection, Chronic Obstructive Pulmonary Disease, Crohn's Disease, periodontitis, Smoking, Caries, Cirrhosis, Aggressive periodontitis, Rheumatoid Arthritis, Systemic lupus erythematosus, Irritable Bowel Syndrome, Oral cancer, Psoriasis, Parkinson's Disease, Asthma, Colorectal cancer, Ulcerative Colitis
Filifactor alocis: Type 2 Diabetes, Crohn's Disease, periodontitis, Colorectal cancer, Caries, Parkinson's Disease, Obesity, Cystic Fibrosis, Ulcerative Colitis, Psoriasis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Rheumatoid Arthritis
Bacteroidetes: Cystic Fibrosis, Obesity, Chronic Obstructive Pulmonary Disease, Type 2 Diabetes, HIV infection, Smoking, Systemic lupus erythematosus, Rheumatoid Arthritis, Cirrhosis, Irritable Bowel Syndrome, Oral cancer, Crohn's Disease, Psoriasis, Asthma, Caries, Aggressive periodontitis, Parkinson's Disease, Sj?gren Syndrome, Colorectal cancer, periodontitis
Bifidobacterium infantis: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Aerobic vaginitis, Breast cancer
Selenomonas noxia: Type 2 Diabetes, periodontitis, Caries, Obesity, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Cystic Fibrosis, Psoriasis, HIV infection, Cirrhosis, Ulcerative Colitis, Aggressive periodontitis, Asthma, Schizophrenia, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Oral cancer, Autism, Rheumatoid Arthritis
Streptococcus oralis: Obesity, Cystic Fibrosis, Type 2 Diabetes, periodontitis, Aggressive periodontitis, Caries, HIV infection, Chronic Obstructive Pulmonary Disease, Smoking, Colorectal cancer, Crohn's Disease, Parkinson's Disease, Cirrhosis, Irritable Bowel Syndrome, Psoriasis, Oral cancer, Systemic lupus erythematosus, Asthma, Rheumatoid Arthritis, Sj?gren Syndrome
Streptococcus gordonii: Type 2 Diabetes, Obesity, Cystic Fibrosis, Crohn's Disease, periodontitis, Caries, Parkinson's Disease, HIV infection, Colorectal cancer, Cirrhosis, Psoriasis, Ulcerative Colitis, Asthma, Chronic Obstructive Pulmonary Disease, Irritable Bowel Syndrome, Schizophrenia, Rheumatoid Arthritis, Aggressive periodontitis, Oral cancer, Autism
Peptostreptococcus micros: Colorectal cancer, Parkinson's Disease, periodontitis, Type 2 Diabetes, Caries, Crohn's Disease, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Aerobic vaginitis, Irritable Bowel Syndrome, Uveitits, Autism spectrum disorders, Aggressive periodontitis
Streptococcus constellatus: Type 2 Diabetes, periodontitis, Caries, Parkinson's Disease, Crohn's Disease, Colorectal cancer, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Autism, Irritable Bowel Syndrome, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Autism spectrum disorders, Oral cancer
Prevotella intermedia: Type 2 Diabetes, periodontitis, Caries, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Irritable Bowel Syndrome, Autism, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Autism spectrum disorders, Oral cancer
Prevotella nigrescens: Type 2 Diabetes, Obesity, periodontitis, Cystic Fibrosis, Crohn's Disease, Caries, Colorectal cancer, Parkinson's Disease, HIV infection, Psoriasis, Cirrhosis, Ulcerative Colitis, Asthma, Chronic Obstructive Pulmonary Disease, Irritable Bowel Syndrome, Schizophrenia, Aggressive periodontitis, Rheumatoid Arthritis, Oral cancer, Smoking
Capnocytophaga ochracea: periodontitis, Type 2 Diabetes, Obesity, Caries, Cystic Fibrosis, Aggressive periodontitis, Crohn's Disease, Colorectal cancer, HIV infection, Parkinson's Disease, Chronic Obstructive Pulmonary Disease, Psoriasis, Cirrhosis, Irritable Bowel Syndrome, Smoking, Asthma, Oral cancer, Ulcerative Colitis, Bacterial vaginosis, Rheumatoid Arthritis
Porphyromonas gingivalis: Cystic Fibrosis, Obesity, Chronic Obstructive Pulmonary Disease, Type 2 Diabetes, Aggressive periodontitis, Smoking, HIV infection, periodontitis, Caries, Systemic lupus erythematosus, Colorectal cancer, Irritable Bowel Syndrome, Oral cancer, Crohn's Disease, Sj?gren Syndrome, Cirrhosis, Rheumatoid Arthritis, Psoriasis, Parkinson's Disease, Asthma
Capnocytophaga sputigena: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Tanerella forsythia: periodontitis, Type 2 Diabetes, Caries, Obesity, Cystic Fibrosis, Colorectal cancer, Crohn's Disease, Parkinson's Disease, HIV infection, Aggressive periodontitis, Psoriasis, Cirrhosis, Chronic Obstructive Pulmonary Disease, Asthma, Irritable Bowel Syndrome, Ulcerative Colitis, Schizophrenia, Oral cancer, Smoking, Rheumatoid Arthritis
Capnocytophaga gingivalis: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Colorectal cancer, periodontitis, Caries, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Rheumatoid Arthritis
Neisseria mucosa: Type 2 Diabetes, Parkinson's Disease, Colorectal cancer, periodontitis, Caries, Crohn's Disease, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, Autism, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Aerobic vaginitis, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease
Aggregatibacter actinomycetemcomitans: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, periodontitis, Colorectal cancer, Caries, Obesity, Ulcerative Colitis, Psoriasis, Cystic Fibrosis, Cirrhosis, Schizophrenia, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Oral cancer
Campylobacter rectus: Obesity, Type 2 Diabetes, Cystic Fibrosis, Crohn's Disease, HIV infection, periodontitis, Caries, Parkinson's Disease, Cirrhosis, Chronic Obstructive Pulmonary Disease, Colorectal cancer, Psoriasis, Irritable Bowel Syndrome, Aggressive periodontitis, Asthma, Rheumatoid Arthritis, Ulcerative Colitis, Smoking, Oral cancer, Systemic lupus erythematosus
Eikenella corrodens: Type 2 Diabetes, periodontitis, Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Asthma, HIV infection, Autism, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis, Chronic Obstructive Pulmonary Disease, Aerobic vaginitis
Fusobacterium periodonticum: Type 2 Diabetes, periodontitis, Obesity, Caries, Cystic Fibrosis, Crohn's Disease, Colorectal cancer, Parkinson's Disease, HIV infection, Psoriasis, Cirrhosis, Chronic Obstructive Pulmonary Disease, Asthma, Ulcerative Colitis, Aggressive periodontitis, Irritable Bowel Syndrome, Schizophrenia, Oral cancer, Rheumatoid Arthritis, Smoking
Treponema socranskii: periodontitis, Caries, Type 2 Diabetes, Obesity, Cystic Fibrosis, Colorectal cancer, Crohn's Disease, Parkinson's Disease, Aggressive periodontitis, HIV infection, Psoriasis, Chronic Obstructive Pulmonary Disease, Cirrhosis, Asthma, Irritable Bowel Syndrome, Ulcerative Colitis, Smoking, Bacterial vaginosis, Oral cancer, Schizophrenia
Treponema denticola: Type 2 Diabetes, periodontitis, Crohn's Disease, Caries, Colorectal cancer, Parkinson's Disease, Obesity, Cystic Fibrosis, Psoriasis, Ulcerative Colitis, Cirrhosis, HIV infection, Schizophrenia, Asthma, Autism, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Autism spectrum disorders, Oral cancer
Gammaproteobacteria: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Ulcerative Colitis, Obesity, Psoriasis, Colorectal cancer, Cystic Fibrosis, Cirrhosis, Caries, periodontitis, Schizophrenia, HIV infection, Autism, Asthma, Irritable Bowel Syndrome, Autism spectrum disorders, Rheumatoid Arthritis, Chronic Obstructive Pulmonary Disease, Oral cancer
Staphylococcus epidermidis: Cystic Fibrosis, Obesity, Chronic Obstructive Pulmonary Disease, Type 2 Diabetes, HIV infection, Aggressive periodontitis, Smoking, periodontitis, Caries, Systemic lupus erythematosus, Irritable Bowel Syndrome, Oral cancer, Crohn's Disease, Cirrhosis, Rheumatoid Arthritis, Psoriasis, Parkinson's Disease, Sj?gren Syndrome, Colorectal cancer, Asthma
Clostridium cluster IV: Systemic lupus erythematosus, Rheumatoid Arthritis, Cystic Fibrosis, HIV infection, Chronic Obstructive Pulmonary Disease, Chronic kidney disease, Smoking, Cirrhosis, Behcet's Disease, Irritable Bowel Syndrome, Obesity, Oral cancer, Type 2 Diabetes, Psoriasis, Sj?gren Syndrome, Asthma, Ulcerative Colitis, Crohn's Disease, Non-alcoholic fatty liver disease, Autism spectrum disorders
Mitis group streptococci: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Burkholderia: Cystic Fibrosis, Type 2 Diabetes, Obesity, HIV infection, Chronic Obstructive Pulmonary Disease, Cirrhosis, Crohn's Disease, Psoriasis, Caries, Irritable Bowel Syndrome, Parkinson's Disease, Colorectal cancer, Smoking, periodontitis, Oral cancer, Rheumatoid Arthritis, Systemic lupus erythematosus, Asthma, Aggressive periodontitis, Ulcerative Colitis
Bifidobacterium bifidum: Type 2 Diabetes, Obesity, Cystic Fibrosis, periodontitis, Crohn's Disease, Caries, Parkinson's Disease, Colorectal cancer, HIV infection, Psoriasis, Cirrhosis, Ulcerative Colitis, Asthma, Chronic Obstructive Pulmonary Disease, Irritable Bowel Syndrome, Aggressive periodontitis, Schizophrenia, Rheumatoid Arthritis, Oral cancer, Smoking
Bacteroides-Prevotella group: Colorectal cancer, Parkinson's Disease, periodontitis, Caries, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Irritable Bowel Syndrome, Autism spectrum disorders, Aggressive periodontitis
Rikenellaceae: Cystic Fibrosis, HIV infection, Type 2 Diabetes, Obesity, Cirrhosis, Rheumatoid Arthritis, Chronic Obstructive Pulmonary Disease, Irritable Bowel Syndrome, Systemic lupus erythematosus, Crohn's Disease, Psoriasis, Ulcerative Colitis, Oral cancer, Asthma, Smoking, Chronic kidney disease, Parkinson's Disease, Autism spectrum disorders, Autism, Behcet's Disease
